"method","beta","lb","ub","tau","name","dithering"
"riid",-0.0222277424655779,-0.680024382137,0.602933232044483,0.3,"lead.t1.res","Yes"
"rnid",-0.0222277424655779,-0.680771367001957,0.603996524357761,0.3,"lead.t1.res","Yes"
"xy",-0.0222277424655779,-0.710014238502859,0.665558753571703,0.3,"lead.t1.res","Yes"
"wild",-0.0222277424655779,-0.757192025412561,0.712736540481405,0.3,"lead.t1.res","Yes"
"pbs",-0.0222277424655779,-0.816290331594994,0.715880925828275,0.3,"lead.t1.res","Yes"
"nid",-0.137400999261266,-0.914396670815004,0.639594672292473,0.5,"lead.t1.res","Yes"
"riid",-0.137400999261266,-0.683016371706176,0.753085801752402,0.5,"lead.t1.res","Yes"
"rnid",-0.137400999261266,-0.683154719719368,0.754522454822374,0.5,"lead.t1.res","Yes"
"xy",-0.137400999261266,-0.988534159902176,0.713732161379645,0.5,"lead.t1.res","Yes"
"wild",-0.137400999261266,-0.923363958763078,0.648561960240547,0.5,"lead.t1.res","Yes"
"pbs",-0.137400999261266,-0.716773199367538,1.03812435425536,0.5,"lead.t1.res","Yes"
"nid",-0.0385061061010539,-1.12003732597835,1.04302511377625,0.7,"lead.t1.res","Yes"
"riid",-0.0385061061010539,-0.39882169645836,0.864787843721701,0.7,"lead.t1.res","Yes"
"rnid",-0.0385061061010539,-0.39888760187428,0.865794932396185,0.7,"lead.t1.res","Yes"
"xy",-0.0385061061010539,-0.890852566800693,0.813840354598585,0.7,"lead.t1.res","Yes"
"wild",-0.0385061061010539,-0.777833207907614,0.700820995705506,0.7,"lead.t1.res","Yes"
"pbs",-0.0385061061010539,-0.72790785448608,1.07437844721017,0.7,"lead.t1.res","Yes"
"nid",0.944779597942395,-0.149317361734267,2.03887655761906,0.9,"lead.t1.res","Yes"
"riid",0.944779597942395,-1.05082848128704,2.08864788517182,0.9,"lead.t1.res","Yes"
"rnid",0.944779597942395,-1.07873920175237,2.17821020904476,0.9,"lead.t1.res","Yes"
"xy",0.944779597942395,-0.845272031708877,2.73483122759367,0.9,"lead.t1.res","Yes"
"wild",0.944779597942395,-0.604644358590273,2.49420355447506,0.9,"lead.t1.res","Yes"
"pbs",0.944779597942395,-1.05290035708274,2.42603320824141,0.9,"lead.t1.res","Yes"
"nid",-0.00100469095564235,-0.356003013793923,0.353993631882638,0.1,"bbhc.t1.res","Yes"
"riid",-0.00100469095564235,-0.197198758065595,0.507596237213777,0.1,"bbhc.t1.res","Yes"
"rnid",-0.00100469095564235,-0.200073929469262,0.507956667959113,0.1,"bbhc.t1.res","Yes"
"xy",-0.00100469095564235,-0.415330509905674,0.413321127994389,0.1,"bbhc.t1.res","Yes"
"wild",-0.00100469095564235,-0.382168322541192,0.380158940629908,0.1,"bbhc.t1.res","Yes"
"pbs",-0.00100469095564235,-0.446205959500008,0.453318079442525,0.1,"bbhc.t1.res","Yes"
"nid",-0.0550047125678296,-0.329709227752907,0.219699802617248,0.3,"bbhc.t1.res","Yes"
"riid",-0.0550047125678296,-0.586480555114609,0.276336023877481,0.3,"bbhc.t1.res","Yes"
"rnid",-0.0550047125678296,-0.624650802276953,0.291833621591023,0.3,"bbhc.t1.res","Yes"
"xy",-0.0550047125678296,-0.468262344625415,0.358252919489756,0.3,"bbhc.t1.res","Yes"
"wild",-0.0550047125678296,-0.453958722251806,0.343949297116147,0.3,"bbhc.t1.res","Yes"
"pbs",-0.0550047125678296,-0.554002409867397,0.30609535710299,0.3,"bbhc.t1.res","Yes"
"nid",-0.171855427986152,-0.559593631842466,0.215882775870161,0.5,"bbhc.t1.res","Yes"
"riid",-0.171855427986152,-0.472838449890503,0.482094201804755,0.5,"bbhc.t1.res","Yes"
"rnid",-0.171855427986152,-0.473669504646126,0.482113705781788,0.5,"bbhc.t1.res","Yes"
"xy",-0.171855427986152,-0.679612111341108,0.335901255368803,0.5,"bbhc.t1.res","Yes"
"wild",-0.171855427986152,-0.67759906339971,0.333888207427405,0.5,"bbhc.t1.res","Yes"
"pbs",-0.171855427986152,-0.518621838941474,0.46427532892995,0.5,"bbhc.t1.res","Yes"
"nid",0.0437669664233422,-0.509893843551454,0.597427776398138,0.7,"bbhc.t1.res","Yes"
"riid",0.0437669664233422,-0.468363955221896,0.429168411488183,0.7,"bbhc.t1.res","Yes"
"rnid",0.0437669664233422,-0.468747129092225,0.429250530478233,0.7,"bbhc.t1.res","Yes"
"xy",0.0437669664233422,-0.537334940511283,0.624868873357967,0.7,"bbhc.t1.res","Yes"
"wild",0.0437669664233422,-0.473286597853463,0.560820530700147,0.7,"bbhc.t1.res","Yes"
"pbs",0.0437669664233422,-0.605777144477722,0.484613198861068,0.7,"bbhc.t1.res","Yes"
"nid",0.266691084078987,-0.0809931354938928,0.614375303651867,0.9,"bbhc.t1.res","Yes"
"riid",0.266691084078987,-0.394815537504278,0.799092203518198,0.9,"bbhc.t1.res","Yes"
"rnid",0.266691084078987,-0.395431106253057,0.825445767055113,0.9,"bbhc.t1.res","Yes"
"xy",0.266691084078987,-0.299302178361319,0.832684346519294,0.9,"bbhc.t1.res","Yes"
"wild",0.266691084078987,-0.169859583559444,0.703241751717419,0.9,"bbhc.t1.res","Yes"
"pbs",0.266691084078987,-0.390881420237867,0.739890273782244,0.9,"bbhc.t1.res","Yes"
"nid",0.270935120189093,-0.141471386740729,0.683341627118914,0.1,"sum.pcb.t1.res","Yes"
"riid",0.270935120189093,-0.120514402574242,1.06049857131583,0.1,"sum.pcb.t1.res","Yes"
"rnid",0.270935120189093,-0.140129335281107,1.06357409971729,0.1,"sum.pcb.t1.res","Yes"
"xy",0.270935120189093,-0.404907668137444,0.946777908515629,0.1,"sum.pcb.t1.res","Yes"
"wild",0.270935120189093,-0.379300362357961,0.921170602736146,0.1,"sum.pcb.t1.res","Yes"
"pbs",0.270935120189093,-0.223995707162243,1.0951101554929,0.1,"sum.pcb.t1.res","Yes"
"nid",0.178448666084217,-0.217063461580764,0.573960793749198,0.3,"sum.pcb.t1.res","Yes"
"riid",0.178448666084217,-0.267882158117093,0.9464356492946,0.3,"sum.pcb.t1.res","Yes"
"rnid",0.178448666084217,-0.267977495842585,0.948825166090852,0.3,"sum.pcb.t1.res","Yes"
"xy",0.178448666084217,-0.383005230051057,0.739902562219491,0.3,"sum.pcb.t1.res","Yes"
"wild",0.178448666084217,-0.360350223517976,0.71724755568641,0.3,"sum.pcb.t1.res","Yes"
"pbs",0.178448666084217,-0.26103777287354,0.924791951251824,0.3,"sum.pcb.t1.res","Yes"
"nid",0.0291236273435508,-0.550895856650643,0.609143111337745,0.5,"sum.pcb.t1.res","Yes"
"riid",0.0291236273435508,-0.418024154608628,0.878567535417597,0.5,"sum.pcb.t1.res","Yes"
